"filename", "language", "Markdown", "CMake", "Dart", "C++", "YAML", "HTML", "Properties", "JSON", "Swift", "XML", "Python", "comment", "blank", "total"
"d:\Arquivos\UFSM\App NF\API\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 20
"d:\Arquivos\UFSM\App NF\API\controller.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 6, 24
"d:\Arquivos\UFSM\App NF\API\data.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 19, 28, 190
"d:\Arquivos\UFSM\App NF\API\models\NF.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 437, 16, 41, 494
"d:\Arquivos\UFSM\App NF\API\services\Flask_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 10, 37
"d:\Arquivos\UFSM\App NF\API\services\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 24, 112
"d:\Arquivos\UFSM\App NF\README.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 246
"d:\Arquivos\UFSM\App NF\nf\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Arquivos\UFSM\App NF\nf\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Arquivos\UFSM\App NF\nf\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Arquivos\UFSM\App NF\nf\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Arquivos\UFSM\App NF\nf\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Arquivos\UFSM\App NF\nf\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Arquivos\UFSM\App NF\nf\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"d:\Arquivos\UFSM\App NF\nf\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Arquivos\UFSM\App NF\nf\lib\NF\NF.dart", "Dart", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37, 277
"d:\Arquivos\UFSM\App NF\nf\lib\NF\invoiceData.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 63
"d:\Arquivos\UFSM\App NF\nf\lib\NF\supplierData.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 69
"d:\Arquivos\UFSM\App NF\nf\lib\NF\taxData.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 105
"d:\Arquivos\UFSM\App NF\nf\lib\NF\transportersData.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\loading.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\suppliers.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Arquivos\UFSM\App NF\nf\lib\NF\utils\transporters.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
